"","pm","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"1",0,0,1,734,0.815555555555556,0.00111111111111111,470,0.522222222222222,4.27272727272727,0.815555555555556,734,NA,734,734,1.2806299457685,0.640326975476839,NA,0.640326975476839,0.640326975476839,4.27272727272727,NA,4.27272727272727,4.27272727272727,1.44470161756679,NA,1.44470161756679,1.44470161756679,339,0.376666666666667,339,NA,339,339,0.724016441573693,87.2611464968153,0.334869135802469,1.50346353451284,598.617777777778,9.30986348924598
"2",0,1,21,166,0.184444444444444,0.0233333333333333,360,0.4,6.92307692307692,0.138888888888889,7.90476190476191,26.9107873573122,1,125,4.36307962863598,3.54869841269841,0.69672409575704,1.856,4,1.28438331854481,0.882752473978827,1,5.04347826086957,1.48564726982268,0.251410103619922,1.16992500144231,1.8073549220576,5,0.00555555555555556,0.238095238095238,1.09108945117996,0,5,0.296875,49.6732026143791,0.980498765432099,51.2788047606989,17.5511111111111,8.71507573599759
"3",1e-04,0,5,637,0.707777777777778,0.00555555555555556,534,0.593333333333333,5.23529411764706,0.701111111111111,127.4,281.521402383549,1,631,1.6763718358855,2.96291600633914,1.30088280841645,0.814580031695721,4,1.8078431372549,1.80639217005865,1,5.03921568627451,1.28206452836936,0.194231358174379,1.16992500144231,1.50634358222345,213,0.236666666666667,42.6,95.256495841491,0,213,0.653471771576898,82.3385118560916,0.508430864197531,2.03430184518712,442.412222222222,9.28112011981641
"4",1e-04,1,22,263,0.292222222222222,0.0244444444444444,418,0.464444444444444,6.33333333333333,0.246666666666667,11.9545454545455,46.9715995983868,1,222,3.18022435148236,3.6048321048321,0.75727391092423,1.30630630630631,4,1.25400432900433,0.820429207834759,1,4.83333333333333,1.50899234759082,0.29191540809791,1.16992500144231,2,48,0.0533333333333333,2.18181818181818,10.2336343850693,0,48,0.431292517006803,64.3002028397566,0.938917283950617,16.3712432039129,54.9744444444444,8.98658644373702
"5",2e-04,0,8,618,0.686666666666667,0.00888888888888889,490,0.544444444444444,4.9,0.67,77.25,212.43940312475,1,603,1.58498951050064,3.22495854063018,1.2074496045102,0.733001658374793,4,1.53583333333333,1.1748363614523,1,4.42,1.61938978542555,0.355146583598119,1.26185950714291,2,250,0.277777777777778,31.25,88.3883476483184,0,250,0.669142471303174,83.5581787521079,0.551044444444444,2.22739197148938,404.06,9.27081473018776
"6",2e-04,1,14,278,0.308888888888889,0.0155555555555556,388,0.431111111111111,5.70588235294118,0.283333333333333,19.8571428571429,67.7050812124025,1,255,2.79061970095449,3.52843137254902,0.858433195042257,1.23137254901961,4,1.3266369047619,1.04548664271386,1,4.90625,1.3886258153774,0.203251093694499,1.16992500144231,1.57476668966613,33,0.0366666666666667,2.35714285714286,8.81962098311,0,33,0.482666666666667,69.3486590038314,0.919614814814815,12.4401032067822,72.3466666666667,9.04827953384771
"7",2e-04,65,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"8",2e-04,185,2,3,0.00333333333333333,0.00222222222222222,10,0.0111111111111111,1.25,0.00222222222222222,1.5,0.707106781186548,1,2,7.84341461860919,3.5,0.707106781186548,3,4,1,0,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0909090909090909,50,0.999993827160494,162000,0.00555555555555556,2.83130111519671
"9",3e-04,0,3,663,0.736666666666667,0.00333333333333333,530,0.588888888888889,5.09615384615385,0.733333333333333,221,380.185481048396,1,660,1.59869807165591,2.5959595959596,1.6437357319267,0.787878787878788,4,2.33333333333333,2.3094010767585,1,5,1.3347090557081,0.233039844405496,1.16992500144231,1.49949310997388,244,0.271111111111111,81.3333333333333,140.873465682269,0,244,0.666876178504085,83.2810047095761,0.462216049382716,1.85948278830592,484.005555555556,9.29005675925596
"10",3e-04,1,20,222,0.246666666666667,0.0222222222222222,410,0.455555555555556,6.83333333333333,0.131111111111111,11.1,28.5231208154478,1,118,3.7047779374742,3.41793507455775,0.876558568718269,1.42372881355932,4,1.36323051948052,0.858126460814177,1,3.81818181818182,1.42497296117225,0.270231343977324,1.16992500144231,1.80617997398389,18,0.02,0.9,3.79611990271507,0,17,0.368258859784284,57.7294685990338,0.977874074074074,45.1958486776029,19.9133333333333,8.62671796545345
"11",3e-04,242,2,5,0.00555555555555556,0.00222222222222222,20,0.0222222222222222,2,0.00444444444444444,2.5,2.12132034355964,1,4,8.6236868269527,4,0,4,4,1.5,0.707106781186548,1,2,2,NA,2,2,0,0,0,0,0,0,0,0,0.999979012345679,47647.0588235294,0.0188888888888889,NA
"12",3e-04,501,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"13",3e-04,881,6,9,0.01,0.00666666666666667,30,0.0333333333333333,2.5,0.00222222222222222,1.5,0.547722557505166,1,2,7.84341461860919,3.5,0.547722557505166,3,4,1,0,1,1,1.16992500144231,0,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0909090909090909,27.2727272727273,0.999981481481481,54000,0.0166666666666667,2.83130111519671
"14",4e-04,0,4,717,0.796666666666667,0.00444444444444444,530,0.588888888888889,4.90740740740741,0.793333333333333,179.25,356.5,1,714,1.47820809092025,3.18137254901961,1.63725490196078,0.725490196078431,4,1.94907407407407,1.89814814814815,1,4.7962962962963,1.4803736146315,NA,1.4803736146315,1.4803736146315,275,0.305555555555556,68.75,137.5,0,275,0.688051795173632,84.7101449275362,0.370618518518518,1.58886149247056,566.443333333333,9.30490075886019
"15",4e-04,1,23,163,0.181111111111111,0.0255555555555556,394,0.437777777777778,7.57692307692308,0.112222222222222,7.08695652173913,20.7406343452528,1,101,4.88124761423954,3.47011533451482,0.665193693713045,2.05940594059406,4,1.35144927536232,0.848671685477492,1,4.95238095238095,1.53467043772278,0.309514904133201,1.16992500144231,2,0,0,0,0,0,0,0.246653919694073,43,0.98689012345679,76.2783689612958,11.7988888888889,8.50807618820399
"16",4e-04,61,2,2,0.00222222222222222,0.00222222222222222,8,0.00888888888888889,1.33333333333333,0.00111111111111111,1,0,1,1,10.121576876138,4,0,4,4,1,0,1,1,NA,NA,Inf,-Inf,0,0,0,0,0,0,0,0,0.999997530864198,405000,0.00222222222222222,NA
"17",4e-04,545,1,4,0.00444444444444444,0.00111111111111111,16,0.0177777777777778,2,0.00444444444444444,4,NA,4,4,8.37066002308774,4,NA,4,4,2,NA,2,2,2,NA,2,2,0,0,0,NA,0,0,0,0,0.99998024691358,50625,0.0177777777777778,NA
"18",4e-04,577,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
